Variant,Model,RevIN,Loss,HMM,SeqLen,ValMSE,File
Univariate,DLinear,RevIN,MSE,NoHMM,15,93.12213897705078,Sub_Univariate_DLinear_RevIN_MSE_NoHMM_Seq15_MSE93.csv
Univariate,DLinear,RevIN,Huber,NoHMM,15,93.12327575683594,Sub_Univariate_DLinear_RevIN_Huber_NoHMM_Seq15_MSE93.csv
Multivariate,DLinear,RevIN,MAE,HMM3W30,30,93.25724029541016,Sub_Multivariate_DLinear_RevIN_MAE_HMM3W30_Seq30_MSE93.csv
Univariate,Linear,RevIN,MSE,NoHMM,15,93.25993347167969,Sub_Univariate_Linear_RevIN_MSE_NoHMM_Seq15_MSE93.csv
Univariate,Linear,RevIN,Huber,NoHMM,15,93.26118469238281,Sub_Univariate_Linear_RevIN_Huber_NoHMM_Seq15_MSE93.csv
Univariate,DLinear,RevIN,MAE,NoHMM,7,93.32819366455078,Sub_Univariate_DLinear_RevIN_MAE_NoHMM_Seq7_MSE93.csv
Multivariate,Linear,RevIN,Huber,HMM3W30,15,93.44112396240234,Sub_Multivariate_Linear_RevIN_Huber_HMM3W30_Seq15_MSE93.csv
Multivariate,Linear,RevIN,MSE,HMM3W30,15,93.4411392211914,Sub_Multivariate_Linear_RevIN_MSE_HMM3W30_Seq15_MSE93.csv
Univariate,Linear,RevIN,MAE,NoHMM,7,93.57881927490234,Sub_Univariate_Linear_RevIN_MAE_NoHMM_Seq7_MSE94.csv
Univariate,NLinear,NoRevIN,MAE,NoHMM,120,93.6446533203125,Sub_Univariate_NLinear_NoRevIN_MAE_NoHMM_Seq120_MSE94.csv
Multivariate,Linear,RevIN,MAE,HMM3W30,30,93.76830291748047,Sub_Multivariate_Linear_RevIN_MAE_HMM3W30_Seq30_MSE94.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W30,30,93.7947769165039,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W30_Seq30_MSE94.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W30,30,93.79740142822266,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W30_Seq30_MSE94.csv
Multivariate,Linear,RevIN,Huber,NoHMM,15,93.93419647216797,Sub_Multivariate_Linear_RevIN_Huber_NoHMM_Seq15_MSE94.csv
Multivariate,Linear,RevIN,MSE,NoHMM,15,93.93568420410156,Sub_Multivariate_Linear_RevIN_MSE_NoHMM_Seq15_MSE94.csv
Univariate,Linear,NoRevIN,Huber,HMM3W30,15,94.07357788085938,Sub_Univariate_Linear_NoRevIN_Huber_HMM3W30_Seq15_MSE94.csv
Univariate,Linear,RevIN,MSE,HMM3W60,60,94.1805419921875,Sub_Univariate_Linear_RevIN_MSE_HMM3W60_Seq60_MSE94.csv
Univariate,Linear,RevIN,Huber,HMM3W60,60,94.18136596679688,Sub_Univariate_Linear_RevIN_Huber_HMM3W60_Seq60_MSE94.csv
Univariate,NLinear,NoRevIN,MAE,HMM3W60,30,94.50373840332031,Sub_Univariate_NLinear_NoRevIN_MAE_HMM3W60_Seq30_MSE95.csv
Multivariate,DLinear,RevIN,MAE,HMM3W30,7,94.51271057128906,Sub_Multivariate_DLinear_RevIN_MAE_HMM3W30_Seq7_MSE95.csv
Multivariate,NLinear,NoRevIN,Huber,HMM3W60,15,94.98011779785156,Sub_Multivariate_NLinear_NoRevIN_Huber_HMM3W60_Seq15_MSE95.csv
Multivariate,NLinear,NoRevIN,MSE,HMM3W60,15,94.98230743408203,Sub_Multivariate_NLinear_NoRevIN_MSE_HMM3W60_Seq15_MSE95.csv
Univariate,Linear,RevIN,MSE,HMM3W30,30,95.3044204711914,Sub_Univariate_Linear_RevIN_MSE_HMM3W30_Seq30_MSE95.csv
Univariate,Linear,RevIN,Huber,HMM3W30,30,95.30484008789062,Sub_Univariate_Linear_RevIN_Huber_HMM3W30_Seq30_MSE95.csv
Univariate,NLinear,NoRevIN,Huber,HMM3W60,60,95.43531799316406,Sub_Univariate_NLinear_NoRevIN_Huber_HMM3W60_Seq60_MSE95.csv
Univariate,NLinear,NoRevIN,MSE,HMM3W60,60,95.43745422363281,Sub_Univariate_NLinear_NoRevIN_MSE_HMM3W60_Seq60_MSE95.csv
Multivariate,DLinear,RevIN,MAE,NoHMM,15,95.519287109375,Sub_Multivariate_DLinear_RevIN_MAE_NoHMM_Seq15_MSE96.csv
